"","Brand","Model.Number","Price","Photo","Engine.Type","Body.Type","Fuel.Type","Gearbox.Type","Power.hp","Displacement.l","Torque.lbft","Cylinders","Drivetrain","MPG.City","MPG.Highway","Seats","Doors","Height.in","Length.in","Width.in","Wheelbase.in","Clearance.in","Air.Conditioner","Heater","AntiLock.Braking.System","Central.Locking","Power.Steering","Power.Windows","Leather.Seats","Anti.Lock.Braking","Brake.Assist","Central.Locking.1","Power.Door.Locks","Child.Safety.Locks","Night.Rear.View.Mirror","Rear.Seat.Belts","Door.Ajar.Warning","Adjustable.Seats","Crash.Sensor","Engine.Check.Warning","Rear.Camera","Anti.Theft.Device","Touch.Screen","Audio.System.Remote.Control","Speakers.Front...back","Bluetooth.Connectivity","USB...Auxiliary.Input","Adjustable.Steering.Column","Height.Adjustable.Driving.Seat","Digital.Clock","Smoke.Headlamps","Electric.Folding.Rear.View.Mirror","Automatic.Climate.Control","Low.Fuel.Warning.Light","Parking.Sensors","Bottle.Holder","Voice.Control","Seat.Belt.Warning","Vehicle.Stability.Control.System","Engine.Immobilizer","Rear.Reading.Lamp","Radio","Outside.Temperature.Display","Fog.Lights.Front...Back","Centrally.Mounted.Fuel.Tank","CD.Player","DVD.Player","Electric.Adjustable.Seats","Keyless.Entry","Tyre.Pressure.Monitor","Smart.Access.Card.Entry","Xenon.Headlamps","Halogen.Headlamps","Removable.Convertible.Top","Cassette.Player"
"11","Honda","Accord Sport SE 1.5T 2023",31070,"https://www.ccarprice.com/products/Honda_Accord_Sport_SE_1_5T_2023.jpg","1.5L Turbo Inline-4 Gas","Sedan","Petrol","CVT",192,1.5,192,4,"front",29,35,5,4,57.1,196.1,73.3,111.4,5.8,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","",""
"12","Honda","CR-V Hybrid Sport Touring 2023",33950,"https://www.ccarprice.com/products/Honda_CR_V_Hybrid_Sport_Touring_2023_1.jpg","2.0L Inline-4 Hybrid","SUV","Hybrid","CVT",204,2,247,4,"all",35,40,5,4,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","","","Yes","","","","","","",""
"13","Honda","CR-V Hybrid Sport 2023",32450,"https://www.ccarprice.com/products/Honda_CR-V_Hybrid_Sport_2023.jpg","2.0L Inline-4 Hybrid","SUV","Hybrid","CVT",204,2,247,4,"all",35,40,5,4,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","","","Yes","","","","","","",""
"14","Honda","Pilot 2023",40000,"https://www.ccarprice.com/products/Honda_Pilot_2023_Specs.jpg","3.5L V6 Gas","SUV","Petrol","Automatic",280,3.5,262,6,"all",19,26,8,5,70.6,196.5,78.6,111,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","","","Yes","Yes","","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","Yes","","","","","","",""
"15","Honda","Pilot Sport 2022",36830,"https://www.ccarprice.com/products/Honda_Pilot_2022.jpg","3.5L V6 Gas","SUV","Petrol","Automatic",280,3.5,262,6,"front",20,27,8,5,70.6,196.5,78.6,111,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","","Yes","Yes","","","","",""
"16","Honda","Passport 2023",37870,"https://www.ccarprice.com/products/Honda_Passport_2023.jpg","3.5-liter V6 Gas","SUV","Petrol","Automatic",280,3.5,262,6,"all",19,24,5,4,72.2,189.1,78.6,111,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","Yes","","","Yes","","","","","","","","Yes","","","","","",""
"17","Honda","Passport Sport 2022",32790,"https://www.ccarprice.com/products/Honda_Passport_2022.jpg","3.5-liter V6 Gas","SUV","Petrol","Automatic",280,3.5,262,NA,"front",20,25,5,4,71.6,190.5,78.6,111,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","Yes","","","Yes","","","","","","","","Yes","","","","","",""
"18","Honda","CR-V Hybrid 2022",31610,"https://www.ccarprice.com/products/Honda_CR-V_Hybrid_2022.jpg","2.0L Inline-4 Hybrid","SUV","Hybrid","CVT",212,2,129,4,"all",40,35,5,4,66.5,182.1,73,104.7,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","",""
"19","Honda","Odyssey Sport 2023",41210,"https://www.ccarprice.com/products/Honda_Odyssey_Sport_2023.jpg","3.5-liter V6 Gas","Van","Petrol","Automatic",280,3.5,262,NA,"front",19,28,8,5,69.6,205.2,78.5,118.1,4.5,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","","","","","","","","","","","","","","","",""
"20","Honda","Odyssey 2023",37340,"https://www.ccarprice.com/products/Honda_Odyssey_2023.jpg","3.5-liter V6 Gas","Van","Petrol","Automatic",280,3.5,262,NA,"front",19,28,8,5,69.6,205.2,78.5,118.1,4.5,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","","","","","","","","","","","","","","","",""
"21","Honda","Insight 2023",28900,"https://www.ccarprice.com/products/Honda_Insight_2023_1.jpg","1.5-liter Inline-4 Hybrid","Sedan","Hybrid","CVT",151,1.5,99,4,"front",51,45,5,4,55.6,183.6,71.6,106.3,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","Yes","Yes","","Yes","Yes","Yes","","Yes","","","Yes","Yes","Yes","Yes","","","","","","",""
"22","Honda","Insight EX 2022",25760,"https://www.ccarprice.com/products/Honda_Insight_2022.jpg","1.5-liter Inline-4 Hybrid","Sedan","Hybrid","CVT",151,1.5,99,4,"front",55,49,5,4,55.6,183.6,71.6,106.3,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","Yes","","Yes","","","","","",""
"23","Honda","Clarity 2023",33250,"https://www.ccarprice.com/products/Honda_Clarity_2023.jpg","Hydrogen Fuel Cell","Sedan","Electric","Automatic",174,NA,221,NA,"front",0,0,5,4,58.2,192.7,73.9,108.3,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","Yes","Yes","","","","","",""
"24","Honda","Accord 2023",28000,"https://www.ccarprice.com/products/Honda_Accord_2023_3.jpg","1.5L Turbo Inline-4 Gas","Sedan","Petrol","CVT",192,1.5,260,4,"front",30,38,5,4,57.1,196.1,73.3,111.4,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","",""
"25","Honda","City VX MT Diesel 2022",18030,"https://www.ccarprice.com/products/Honda_City_VX_MT_Diesel_2022.jpg","Water Cooled Inline i-VTEC DOHC with VTC","Sedan","Diesel","Manual",NA,NA,NA,4,"front",15,21,5,4,60,182,70,104,7,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","","","","","",""
"26","Honda","City VX MT 2022",16150,"https://www.ccarprice.com/products/Honda_City_VX_MT_2022.jpg","Water Cooled Inline i-VTEC DOHC with VTC","Sedan","Petrol","Manual",NA,NA,NA,4,"front",16,21,5,4,60,182,70,104,7,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","","","","","",""
"27","Honda","City V MT Diesel 2022",16330,"https://www.ccarprice.com/products/Honda_City_V_MT_Diesel_2022.jpg","Water Cooled Inline i-DTEC DOHC","Sedan","Diesel","Manual",NA,NA,NA,4,"front",15,21,5,4,60,182,70,104,7,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","","","","","",""
"28","Honda","City V MT 2022",14340,"https://www.ccarprice.com/products/Honda_City_V_MT_2022.jpg","Water Cooled Inline i-VTEC DOHC with VTC","Sedan","Petrol","Manual",NA,NA,NA,4,"front",15,21,5,4,60,182,70,104,7,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","","","","","",""
"29","Honda","City V CVT 2022",16080,"https://www.ccarprice.com/products/Honda_City_V_CVT_2022.jpg","Water Cooled Inline i-VTEC DOHC with VTC","Sedan","Petrol","Automatic",NA,NA,NA,4,"front",16,21,5,4,60,182,70,104,7,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","",""
"30","Honda","City 2022",14330,"https://www.ccarprice.com/products/Honda_City_2022_1.jpg","Water Cooled Inline i-DTEC DOHC","SUV","Diesel","Manual",NA,NA,NA,4,"front",15,21,5,4,60,182,70,104,7,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","",""
"31","Honda","CR-V 2023",31800,"https://www.ccarprice.com/products/Honda_CR-V_2023.jpg","1.5L Turbo Inline-4 Gas","SUV","Petrol","CVT",190,1.5,179,4,"all",27,32,5,4,66.5,182.1,73,104.7,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","",""
"32","Honda","HR-V EX-L 2WD 2023",28690,"https://www.ccarprice.com/products/Honda_HR-V_EX-L_2WD_2023.jpg","2.0L Inline-4 Gas","SUV","Petrol","CVT",158,2,138,4,"front",26,32,5,4,63.4,179.8,72.4,104.5,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","Yes","Yes","","","","Yes","","","","","",""
"33","Honda","HR-V Sport 2WD 2023",26890,"https://www.ccarprice.com/products/Honda_HR-V_LX_Sport_2WD_2023.jpg","2.0L Inline-4 Gas","SUV","Petrol","CVT",158,2,138,4,"front",26,32,5,4,63.8,179.8,72.4,104.5,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","Yes","","","","Yes","","","","","",""
"34","Honda","HR-V LX 2WD 2023",23650,"https://www.ccarprice.com/products/Honda_HR-V_LX_2WD_2023.jpg","2.0L Inline-4 Gas","SUV","Petrol","CVT",158,2,138,4,"front",26,32,5,4,63.4,179.8,72.4,104.5,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","Yes","","","","Yes","","","","","",""
"35","Honda","HR V 2023",23650,"https://www.ccarprice.com/products/Honda_HRV_2023.jpg","2.0L Inline-4 Gas","SUV","Petrol","CVT",158,2,138,4,"front",26,32,5,4,63.4,179.8,72.4,104.5,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","Yes","","","","Yes","","","","","",""
"36","Honda","HR-V EX-L AWD 2023",30690,"https://www.ccarprice.com/products/Honda_HR-V_EX-L_AWD_2023.jpg","2.0L Inline-4 Gas","SUV","Petrol","CVT",158,2,138,4,"all",25,30,5,4,63.4,179.8,72.4,104.5,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","Yes","Yes","","","","Yes","","","","","",""
"37","Honda","HR-V Sport AWD 2023",28890,"https://www.ccarprice.com/products/Honda_HR-V_LX_Sport_AWD_2023.jpg","2.0L Inline-4 Gas","SUV","Petrol","CVT",158,2,138,4,"all",25,30,5,4,63.8,179.8,72.4,104.5,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","Yes","Yes","","","","Yes","","","","","",""
"38","Honda","HR-V LX AWD 2023",24850,"https://www.ccarprice.com/products/Honda_HR-V_LX_AWD_2023.jpg","2.0L Inline-4 Gas","SUV","Petrol","CVT",158,2,138,4,"all",25,30,5,4,63.4,179.8,72.4,104.5,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","Yes","","","Yes","Yes","","","","","",""
"39","Honda","Civic Si Sedan with Summer Tires 2022",27500,"https://www.ccarprice.com/products/Honda_Civic_Si_Sedan_with_Summer_Tires_2022_Price.jpg","1.5L Turbo Inline-4 Gas","Sedan","Petrol","Manual",200,1.5,192,4,"front",27,37,5,4,55.5,184,70.9,107.7,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","","","","Yes","","Yes","","","","","",""
"40","Honda","Accord Sport 1.5T CVT 2022",28580,"https://www.ccarprice.com/products/Honda_Accord_Sport_1_5T_CVT_2022.jpg","1.5L Turbo Inline-4 Gas","Sedan","Petrol","CVT",192,1.5,192,4,"front",29,35,5,4,57.1,196.1,73.3,111.4,5.8,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","",""
"41","Honda","Fit Sport 2022",15520,"https://www.ccarprice.com/products/Honda_Fit_Sport_2022.jpg","1.5L Inline-4 Gas","Hatchback","Petrol","Manual",130,1.5,114,4,"front",29,36,5,4,60,161.4,67,99.6,4.4,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","",""
"42","Honda","Fit EX 2022",18960,"https://www.ccarprice.com/products/Honda_Fit_EX_2022.jpg","1.5L Inline-4 Gas","Hatchback","Petrol","Manual",128,1.5,113,4,"front",31,36,5,4,60,161.4,67,99.6,4.4,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","",""
"43","Honda","Ridgeline RTL-E 2023",44730,"https://www.ccarprice.com/products/Honda_Ridgeline_RTL-E_AWD_2023.jpg","3.5L V6 Gas","SUV","Petrol","Automatic",280,3.5,262,6,"all",18,24,5,4,70.8,210.2,78.6,125.2,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","",""
"44","Honda","Fit LX 2022",16190,"https://www.ccarprice.com/products/Honda_Fit_LX_2022.jpg","1.5L Inline-4 Gas","Hatchback","Petrol","Manual",130,1.5,114,4,"front",29,36,5,4,60,161.4,67,99.6,4.4,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","",""
